This flight happened on:Sun Mar  1 03:55:02 2020

 roll|pitch| yaw | ro_ra|pi_ra|ro_ra_sp|pi_ra_sp|  kill  | thr |roll |pitch| yaw | sp_a| sp_r| sp_p| sp_y| U0X | U1Y | U2Z | U3r | U4p | U5y |  M1 |  M2 |  M3 |  M4 |  M5 |  M6 |
+0.01|-0.00|-0.00|-0.18|-0.14|-0.06|+0.02||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.00|-0.19|-0.14|-0.06|+0.03||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.00|-0.20|-0.14|-0.06|+0.03||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.00|-0.20|-0.15|-0.06|+0.03||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.00|-0.21|-0.15|-0.06|+0.03||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.00|-0.21|-0.15|-0.06|+0.03||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.00|-0.22|-0.16|-0.06|+0.03||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.00|-0.22|-0.16|-0.06|+0.03||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.00|-0.23|-0.16|-0.05|+0.03||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.23|-0.16|-0.05|+0.03||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.23|-0.17|-0.05|+0.03||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.24|-0.17|-0.05|+0.03||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.24|-0.17|-0.05|+0.03||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.24|-0.17|-0.05|+0.03||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.24|-0.17|-0.05|+0.03||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.24|-0.18|-0.05|+0.03||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.24|-0.18|-0.05|+0.03||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.24|-0.18|-0.05|+0.03||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.24|-0.18|-0.05|+0.04||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.24|-0.18|-0.05|+0.04||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.24|-0.18|-0.05|+0.04||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.24|-0.18|-0.05|+0.04||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.24|-0.18|-0.05|+0.04||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.24|-0.18|-0.05|+0.04||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.24|-0.18|-0.05|+0.04||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.24|-0.18|-0.05|+0.04||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.24|-0.18|-0.05|+0.04||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.24|-0.18|-0.04|+0.04||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.24|-0.18|-0.04|+0.04||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.24|-0.18|-0.04|+0.04||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.23|-0.18|-0.04|+0.04||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.23|-0.18|-0.04|+0.04||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.23|-0.18|-0.04|+0.04||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.23|-0.18|-0.04|+0.04||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.22|-0.18|-0.04|+0.04||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.22|-0.18|-0.04|+0.04||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.22|-0.18|-0.04|+0.04||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.22|-0.18|-0.04|+0.04||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.22|-0.18|-0.04|+0.05||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.22|-0.18|-0.04|+0.05||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.22|-0.18|-0.04|+0.05||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.22|-0.18|-0.04|+0.05||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.22|-0.18|-0.04|+0.05||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.22|-0.18|-0.04|+0.05||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.22|-0.18|-0.04|+0.05||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.22|-0.18|-0.04|+0.05||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.22|-0.18|-0.04|+0.05||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.22|-0.18|-0.04|+0.05||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.22|-0.18|-0.04|+0.05||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
